id,title,original_title,imdb_id,release_date,runtime,budget,revenue,overview,tagline,homepage,poster_path,backdrop_path
24,9½ Weeks: An Erotic XXX Parody,9½ Weeks: An Erotic XXX Parody,tt4319314,2014-02-14,145,0,0,"When a wealthy businessman seduces a beautiful art gallery assistant, his imaginative lovemaking awakens erotic desires she never knew existed. Soon, his playful and adventurous sex games escalate to dark, dangerous passions that push her... and their relationship... to the breaking point.",It’s The Hottest 9 ½ Weeks Of Her Life!,http://www.adameve.com/adult-dvds/story-based-features-a-l/sp-weeks-erotic-xxx-93583.aspx,/wso1LEoHz4XWUBCTNPir1oiGf8J.jpg,/weh3xIAQPJ2k3EfwF0sXtFCapFx.jpg
25,Among Us,Among Us,tt3226454,2017-08-08,91,0,0,"After the mysterious death of their young son, a couple desperately flees to a remote lake house to escape the unrelenting haunting following them only to discover the mysterious entity is still very much a part of their lives.",It took their son. Now it wants them.,http://www.hauntmenomore.com/,/gJBxdOev2NilHt8yFf98WespLQf.jpg,/lx8BlR77icJkjp0VFa9xHRZ5bum.jpg
26,Saving Flora,Saving Flora,tt5670364,2019-12-06,95,0,0,"Flora is a circus elephant who can no longer perform her tricks. The night before she's scheduled to be euthanized, the circus owner's 14-year old daughter, Dawn, sneaks Flora from the circus. All that stands between them and the safety of the elephant preserve is two hundred kilometers of woods, one raging river, two elephant hunters and the fear of not making it.",How far would you go to save a friend?,https://www.savingflora.com,/txFQFgjVQmQYFYvEFCbUlTJMYcs.jpg,/fvkEWfD5ZIHCcBnV9dPctsYNwVO.jpg
27,Good on Paper,Good on Paper,tt8231668,2021-06-23,92,0,0,"After years of putting her career ahead of love, stand-up comic Andrea Singer has stumbled upon the perfect guy. On paper, he checks all the boxes but is he everything he appears to be?","If he checks all your boxes, check again.",https://www.netflix.com/title/81406319,/hkU2FQNWUEQFgLrDGrpZQ7Y17zx.jpg,/enlicWSFU0H2JNe3TgHNe4RIGWT.jpg
28,A Christmas Carol,A Christmas Carol,tt7686464,2019-12-19,173,0,0,"London, 1843. Ebenezer Scrooge, a bitter old man, despises the Christmas holiday. Over the course of Christmas Eve night he is visited by three ghosts to show him his past, present and future.",A Holiday classic reimagined.,https://www.fxnetworks.com/shows/fxs-a-christmas-carol,/tKW48tnZKaHLBIxxgoAf9BIpyRv.jpg,/ubLsCmv36zUUt2zxhFSowYFe5uF.jpg
29,John Mulaney & The Sack Lunch Bunch,John Mulaney & The Sack Lunch Bunch,tt11318624,2019-12-24,70,0,0,"John Mulaney and his kid pals tackle existential topics for all ages with catchy songs, comedy sketches and special guests in a nostalgic variety special.",A children's musical comedy special from a man with neither children nor musical ability,http://www.netflix.com/title/81104634,/rP8knLNDHN6VlUi89nWuqaWUdoo.jpg,/9O4qARYvsuCVTtw8ybLIQNTywTO.jpg
30,BloodRayne,BloodRayne,tt0383222,2005-10-22,99,25000000,3650275,"In 18th-century Romania, after spending much of her life in a traveling circus, human-vampire hybrid Rayne escapes and plots to take down her father, Kagan, the evil vampire king. When she's discovered by three vampire hunters, she manages to convince them to spare her life and join her cause. But slaying a vampire as powerful as Kagan will be no easy task.",Revenge never tasted so sweet.,http://www.bloodrayne-themovie.com/main/index.html,/1Xy9uu5INNMnyF7W6BTEQkkGOZC.jpg,/noWdMYkuYHnti9wrDg5ufJFl9Ks.jpg
31,Inside,Inside,tt5170810,2016-02-14,85,0,0,"Completely on her own, Sarah spends her time at home, waiting for the approaching birth of her child. But one night, a stranger breaks into her home, ready to snatch her still unborn baby from her.",Some women would kill for a baby,http://www.embankmentfilms.com/portfolio_page/inside,/1PSctD5yezkDKl5j61kKOk05U0g.jpg,/fiGboqfxF2BC7cAariOF3nQ9zXK.jpg
32,Into the Woods,Into the Woods,tt2191715,2011-03-31,153,0,0,"Stephen Sondheim’s Into the Woods weaves together many famous fairy tales in an allegorical story of family, love, growing up and the hazy areas between right and wrong. This production was captured by Digital Theatre live at London’s Regent’s Park Open Air theatre and was directed by Timothy Sheader.  Into the Woods takes the stories of the Brothers Grimm and gives them a dark and humorous twist.  The popular tales of Red Ridinghood, Jack (of Beanstalk fame), Cinderella and Rapunzel are interwoven with that of the Baker and his Wife and their quest to have a child. However this re-telling goes beyond ""happily ever after"" as the familiar characters find themselves in unfamiliar circumstances and hopes and dreams are questioned and revisited.",Once upon a time...,http://www.digitaltheatre.com/production/details/into-the-woods/,/6fnoURevuXBfkqLOKaRD83ZNP5K.jpg,/bkhUrbPoZc7ZGCXzQBKKiFzMSdV.jpg
33,The Redeeming,The Redeeming,tt4172510,2018-01-29,85,150000,0,A disturbed single mother confronts a mysterious stranger and the echoes of her past to protect her home.,Bad memories always haunt you.,http://www.theredeeming.co.uk/,/6T75zEBrQAuVp4G4hGW7U7qs2OV.jpg,/m5E2KkRmgbwoRpVCAlEwWSbrrW9.jpg
34,"Why, Charlie Brown, Why?","Why, Charlie Brown, Why?",tt0123325,1990-03-16,22,0,0,"A new girl comes to the neighbourhood school and Linus is smitten with her. Unfortunately, she develops the symptoms of leukemia and must go to the hospital for cancer treatment. Linus and Charlie Brown help her through the traumas of chemotherapy as best they can while Snoopy plays at being the world's greatest doctor.",A Peanuts look at a serious subject.,http://www.snoopy.com,/3bWXHBekb1MgVU80So6rES9pGo7.jpg,/vZkoYNwlBYKTAzYc3xIb2726B12.jpg
35,Kimjongilia,Kimjongilia,tt1180311,2009-01-18,75,0,0,"The first film to fully expose the humanitarian crisis of North Korea, this stylish, deeply moving documentary is centered around astonishing interviews with survivors of North Korea's vast and largely hidden prison camps, and interspersed with archival footage of North Korean propoganda films and original art performances.",The Flower Of Kim Jong Il,http://www.kimjongiliathemovie.com,/i191oqUO5cKcvnjmzcdYwTT1Vaa.jpg,/824c3HzSA3UdN30F8ocfM1Jp7Cq.jpg
36,Last Seen Alive,Last Seen Alive,tt10242388,2022-05-12,95,0,5950199,"After Will Spann's wife suddenly vanishes at a gas station, his desperate search to find her leads him down a dark path that forces him to run from authorities and take the law into his own hands.",He'll stop at nothing to get her back.,https://www.lastseenalivemovie.com/,/qvqyDj34Uivokf4qIvK4bH0m0qF.jpg,/nAHysRXM17o6TurhobGtL1MCDDH.jpg
37,The Pink Panther 2,The Pink Panther 2,tt0838232,2009-02-06,92,0,75871032,"When legendary treasures from around the world are stolen, including the priceless Pink Panther Diamond, Chief Inspector Dreyfus is forced to assign Inspector Clouseau to a team of international detectives and experts charged with catching the thief and retrieving the stolen artifacts.",Inspect the unexpected.,http://www.sonypictures.com/movies/thepinkpanther2/,/1XI20rOfPL6i9DrbO6GRWRxlQ60.jpg,/ia6qY2XV4uvrrhSFcqqKZphizXR.jpg
38,John Mulaney: Baby J,John Mulaney: Baby J,tt27141610,2023-04-25,80,0,0,"A chaotic intervention. An action-packed stay in rehab. After a weird couple of years, John Mulaney comes out swinging in his return to the stage.",A wide-ranging conversation,https://www.netflix.com/title/81619082,/68IvnpczS3snky0W6K7SpxIGZLp.jpg,/v3IgA4DxD6nMgDJahdLMA046eoh.jpg
39,What Doesn't Kill Us,What Doesn't Kill Us,tt7467702,2019-11-14,92,0,0,What Doesn't Kill Us is a mockumentary about rehabilitated zombies facing the adversities of living in a time when they aren't yet treated equally to humans.,Being dead was way easier.,http://wdkumovie.com/,/nRjnMbMgfkDeWwxCHR5az1XybEE.jpg,/gyf8M2AUwYqdt0XrKgFzBSwWfJl.jpg
40,The Blacklight,The Blacklight,tt7317866,2021-04-24,120,0,0,"Despite trying to leave behind his life of crime, Danny reluctantly teams with naïve rich kid Liam and wildcard drug dealer Kit Viper. A botched robbery leaves them in possession of a mysterious supernatural artifact with immense potential.",Watch your eyes,https://www.dashfordmedia.com/theblacklight,/m7UM0BSUcgPelxqVPTXPdhk28zI.jpg,/faVbvMDR8dfDHRwwrxCT7QaHkWk.jpg
41,Batman: Return of the Caped Crusaders,Batman: Return of the Caped Crusaders,tt5973626,2016-10-08,78,3500000,0,"Adam West and Burt Ward returns to their iconic roles of Batman and Robin. The film sees the superheroes going up against classic villains like The Joker, The Riddler, The Penguin and Catwoman, both in Gotham City… and in space.",The crusade continues...,https://www.warnerbros.co.uk/movies/batman-return-of-the-caped-crusaders,/tHVnZuvVPeg6cVufF4hcNtCJsJK.jpg,/oBwzYKdcbT7K8CEkKDbTspPAJkG.jpg
42,Black Sabbath: The End of The End,Black Sabbath: The End of The End,tt7133352,2017-09-20,97,0,0,"Chronicles the final tour from Black Sabbath. On February 4th, 2017, Black Sabbath takes the stage in Birmingham, the city where it all began, to play the 81st and final gig of the tour and bring down the curtain on a career that spanned almost half a century.",The final word from the greatest metal band of all time,https://www.sky.com/watch/title/programme/386f75df-7a16-404c-bd2b-7edcf48d67c9/black-sabbath-the-end-of-the-end,/ftvpcFSFGHKPG4s7W48eJUkUUUV.jpg,/kLM6DxvsnQhcyAif2ZpprOLki61.jpg
43,Dark Star,Dark Star,tt0069945,1974-04-01,83,60000,0,"A group of scientists are sent on a mission to destroy unstable planets. 20 years into their mission, they have to battle their alien mascot as well as a ""sensitive"" and intelligent bombing device that starts to question the meaning of its existence.",Bombed Out in Space with a Spaced Out Bomb!,http://www.theofficialjohncarpenter.com/dark-star/,/nybQ7cBbSlgCikFhpULiKCfJcuQ.jpg,/u6qDqxrCSeo81oZ46Q4M04HItMM.jpg
44,All Things Must Pass,All Things Must Pass,tt3272570,2015-10-16,94,0,0,"Established in 1960, Tower Records was once a retail powerhouse with two hundred stores, in thirty countries, on five continents. From humble beginnings in a small-town drugstore, Tower Records eventually became the heart and soul of the music world, and a powerful force in the music industry. In 1999, Tower Records made $1 billion. In 2006, the company filed for bankruptcy. What went wrong? Everyone thinks they know what killed Tower Records: The Internet. But that's not the story. All Things Must Pass is a feature documentary film examining this iconic company's explosive trajectory, tragic demise, and legacy forged by its rebellious founder, Russ Solomon.",The rise and fall of Tower Records,https://www.facebook.com/towerrecordsdoc,/7oO565fLtDlx2Ief7Jn7YVsY0g.jpg,/8azdxVR1RU2BwTHmsocsGSCx1ho.jpg
