id,title,vote_average,vote_count,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages
21,Retribution,6.816,258,2023-08-23,12905464,91,FALSE,/iiXliCeykkzmJ0Eg9RYJ7F2CWSz.jpg,20000000,https://iiil.io/jCT7,tt6906292,Retribution,"When a mysterious caller puts a bomb under his car seat, Matt Turner begins a high-speed chase across the city to complete a specific series of tasks. With his kids trapped in the back seat and a bomb that will explode if they get out of the car, a normal commute becomes a twisted game of life or death as Matt follows the stranger's increasingly dangerous instructions in a race against time to save his family.",1547.22,/oUmmY7QWWn7OhKlcPOnirHJpP1F.jpg,All roads lead to the truth.,"Action, Mystery, Thriller, Crime","StudioCanal, The Picture Company, Ombra Films","France, United States of America","English, German"
22,Convention City,1,1,1933-12-14,522000,69,FALSE,/ms2LoLkDZbIHhJO15LxLFlZmtr.jpg,239000,http://www.missamerica1933.com/contestants/conventioncity.html,tt0023906,Convention City,Extra-marital fun and games at a convention of the Honeywell Rubber Company in Atlantic City.,1.308,/zxvqT6nyO749PAvBkScdJg2G1m5.jpg,"We're off to - ""Convention City""",Comedy,First National Pictures,United States of America,English
23,Rough Night,5.691,1891,2017-06-15,45056771,101,FALSE,/sqlQt6Orr2hEOb7fekhjCefhiED.jpg,20000000,http://www.roughnightmovie.com/,tt4799050,Rough Night,"Five best friends from college reunite 10 years later for a wild bachelorette weekend in Miami. Their hard partying takes a hilariously dark turn when they accidentally kill a male stripper. Amidst the craziness of trying to cover it up, they're ultimately brought closer together when it matters most.",17.511,/ttC00xcQ5UIO04kU8y0h5OAIYYJ.jpg,The hangover will be the least of their problems,"Drama, Comedy","Paulilu Productions, Sony Pictures, Columbia Pictures, LStar Capital",United States of America,English
24,9½ Weeks: An Erotic XXX Parody,8,2,2014-02-14,0,145,TRUE,/weh3xIAQPJ2k3EfwF0sXtFCapFx.jpg,0,http://www.adameve.com/adult-dvds/story-based-features-a-l/sp-weeks-erotic-xxx-93583.aspx,tt4319314,9½ Weeks: An Erotic XXX Parody,"When a wealthy businessman seduces a beautiful art gallery assistant, his imaginative lovemaking awakens erotic desires she never knew existed. Soon, his playful and adventurous sex games escalate to dark, dangerous passions that push her... and their relationship... to the breaking point.",1.441,/wso1LEoHz4XWUBCTNPir1oiGf8J.jpg,It’s The Hottest 9 ½ Weeks Of Her Life!,Fantasy,Adam & Eve,United States of America,English
25,Among Us,6.2,16,2017-08-08,0,91,FALSE,/lx8BlR77icJkjp0VFa9xHRZ5bum.jpg,0,http://www.hauntmenomore.com/,tt3226454,Among Us,"After the mysterious death of their young son, a couple desperately flees to a remote lake house to escape the unrelenting haunting following them only to discover the mysterious entity is still very much a part of their lives.",2.556,/gJBxdOev2NilHt8yFf98WespLQf.jpg,It took their son. Now it wants them.,"Drama, Horror, Thriller",Kitchen Table Films,United States of America,English
26,Saving Flora,7.13,54,2019-12-06,0,95,FALSE,/fvkEWfD5ZIHCcBnV9dPctsYNwVO.jpg,0,https://www.savingflora.com,tt5670364,Saving Flora,"Flora is a circus elephant who can no longer perform her tricks. The night before she's scheduled to be euthanized, the circus owner's 14-year old daughter, Dawn, sneaks Flora from the circus. All that stands between them and the safety of the elephant preserve is two hundred kilometers of woods, one raging river, two elephant hunters and the fear of not making it.",6.303,/txFQFgjVQmQYFYvEFCbUlTJMYcs.jpg,How far would you go to save a friend?,"Adventure, Drama, Family","Dream Factory Group, FJ Productions",United States of America,"English, French"
27,Good on Paper,5.607,275,2021-06-23,0,92,FALSE,/enlicWSFU0H2JNe3TgHNe4RIGWT.jpg,0,https://www.netflix.com/title/81406319,tt8231668,Good on Paper,"After years of putting her career ahead of love, stand-up comic Andrea Singer has stumbled upon the perfect guy. On paper, he checks all the boxes but is he everything he appears to be?",7.108,/hkU2FQNWUEQFgLrDGrpZQ7Y17zx.jpg,"If he checks all your boxes, check again.","Comedy, Romance","Burn Later Productions, Meridian Content, Universal Pictures",United States of America,English
28,A Christmas Carol,6.76,129,2019-12-19,0,173,FALSE,/ubLsCmv36zUUt2zxhFSowYFe5uF.jpg,0,https://www.fxnetworks.com/shows/fxs-a-christmas-carol,tt7686464,A Christmas Carol,"London, 1843. Ebenezer Scrooge, a bitter old man, despises the Christmas holiday. Over the course of Christmas Eve night he is visited by three ghosts to show him his past, present and future.",10.899,/tKW48tnZKaHLBIxxgoAf9BIpyRv.jpg,A Holiday classic reimagined.,"Drama, Fantasy","Scott Free Productions, Hardy Son & Baker, FX Productions","United Kingdom, United States of America",English
29,John Mulaney & The Sack Lunch Bunch,7.033,92,2019-12-24,0,70,FALSE,/9O4qARYvsuCVTtw8ybLIQNTywTO.jpg,0,http://www.netflix.com/title/81104634,tt11318624,John Mulaney & The Sack Lunch Bunch,"John Mulaney and his kid pals tackle existential topics for all ages with catchy songs, comedy sketches and special guests in a nostalgic variety special.",6.362,/rP8knLNDHN6VlUi89nWuqaWUdoo.jpg,A children's musical comedy special from a man with neither children nor musical ability,"Comedy, Family","A Petunia Picture, 3 Arts Entertainment, A24",United States of America,English
30,BloodRayne,4.116,497,2005-10-22,3650275,99,FALSE,/noWdMYkuYHnti9wrDg5ufJFl9Ks.jpg,25000000,http://www.bloodrayne-themovie.com/main/index.html,tt0383222,BloodRayne,"In 18th-century Romania, after spending much of her life in a traveling circus, human-vampire hybrid Rayne escapes and plots to take down her father, Kagan, the evil vampire king. When she's discovered by three vampire hunters, she manages to convince them to spare her life and join her cause. But slaying a vampire as powerful as Kagan will be no easy task.",9.381,/1Xy9uu5INNMnyF7W6BTEQkkGOZC.jpg,Revenge never tasted so sweet.,"Action, Fantasy, Horror","Boll KG, Pitchblack Pictures Inc., Herold Productions, Lighthouse Pictures","Germany, United States of America",English
